Dataset,id,tweet,Analysis,g4AG_C,g4EX_C,g3AG_C,g3EX_C
AAL Intrepretation Dataset,e157,be the better movie.  It’s is.  *,The total points scored is 0.,0,0,1,1
,e248,@KloutKiki come over and smoke with me,"The total score for this text is 0 points because no Aggressive Items (AI) category was identified. According to the rules, the total score is 0 if no AI category is identified, regardless of AC scores.",0,1,2,1
,e355,"how do you politely ask someone to get out of your home   girl im tired pls <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 170]'></span>","The total score is 1 point, according to the provided points assignment rules. We have 1 AI category identified (Aggressive Verbal Phrases) with no multiple expressions within the same category and no AC category found in the text.",1,1,2,1
,e192,KOBE AND TRISHA COUPLE IS ONE OF A KIND,"The total points based on the identified categories in the text is 0. This is because neither the Aggressive Items (AI) category nor the Aggression Catalyzers (AC) category were identified in the text, which by the points assignment rules results in a total score of 0.",0,1,1,1
,e222,PIERRE THOMAS OF QCM IS ABUSING HIS MOM AND HAS BEEN FOR YEARS  HE MAKES HER OUT TO BE ON DRUGS TO COVER UP HIS CONSPIRACY TO KILL HER  YOU SHOULD DO AN ALL EXCLUSIVE INTERVIEW WITH HER THERE IS SO MUCH DOCUMENTED PROOF  HE HAS HER ISOLATED TO KEEP THE TRUTH FROM COMING FORTH,"Based on the points assignment rules, the total points would be as follows:

For Aggressive Items (AI):
- Aggressive Determiner/Noun Phrases: 1 point
- Aggressive Verbal Phrases: 1 point
- Aggressive Adjective Phrases: 0 points (none identified)
- Controversial Content: 1 point
- Counter-Factual Expressions About People: 0.5 points

For Aggression Catalyzers (AC):
- Aggressive Adverbial Phrases: 0.5 points
- Strong Expressions: 0.5 points
- Rhetorical Questions: 0 points (none identified)
- Imperative Sentences: 0.5 points
- Ironic Expressions: 0 points (none identified)

So the total points would be: 1 (AD/NP) + 1 (AVP) + 0 (AAP) + 1 (CC) + 0.5 (CFEAP) + 0.5 (AAP) + 0.5 (SE) + 0 (RQ) + 0.5 (IS) + 0 (IE) = 5 points.",2,1,2,1
,e280,@sometimesacloud RIGHT BACK ATCHA.  YOURE PERFECT AND PERFECT FOR ME TO BE FRIENDS WITH YES,"The total points are 0. Since the text doesn't contain any Aggressive Items (AI) or Aggression Catalyzers (AC), no points are assigned.",0,1,1,1
,e108,Just heard a kid say he likes Kylo Ren more than Rey and I gave him a high five.,The total points based on the identified categories in the text is 0.,0,1,1,1
,e237,good morning i woke up early to study but i think i’m just gonna go back to sleep,The total points would be 0 as there are no Aggressive Items (AI) or Aggression Catalyzers (AC) identified in the text.,0,0,0,0
,e369,@Psyllius THIS IS THE PERFECT TIME FOR ONE,"The total score is 0.5 points, because the only identified category was an Imperative Sentence (AC), which counts for 0.5 points.",0,1,0,1
,e291,"@CarlyGillibrand @nadia_barelli @coldplay Nadia made a mistake, no need to be rude to her!",The total score is 0 points because no AI or AC categories were identified in the text.,0,1,1,1
