Unnamed: 0,Unnamed: 0.1,id,tweet,orginal,1DI_C,1AG_C,1T_C,,2DI_C,2AG_C,2T_C,,G3DI_C,G3AG_C,G3T_C,,G4DI_C,G4AG_C,G4T_C,1T,2T,G4T,G3T
0,Offensive_HateSpeech 2017 (random 1000) LINK,20027,RT @lucybeeee: &#8220;i hate when i lose something and my mom says &#8220;well i guess it wasn't that important&#8221; like bitch you lost me in a grocery st&#8230;,1,0,1,0,,1,1,1,,1,2,1,,0,2,0,1,1,1,1
1,,18334,RT @UnansweredQuot: Did that bitch ever get out of Ludacris's way?,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
2,,2322,85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? http://t.co/VIWMjjJxOT,1,1,0,0,,1,0,0,,1,0,0,,1,0,0,0,0,0,0
3,,15763,RT @Gvmby: This bitch possessed by the thot demon. https://t.co/FHfgbsihhE,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
4,,15210,RT @DEON1093: AHAAAA DUHHRT @PAPER_CHAYSIN: These hoes are for everyone !,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
5,,6308,@iMGorgeous_HOES eew bitch get out of my carrrr,1,1,2,1,,1,2,1,,1,1,1,,1,2,1,1,1,1,1
6,,6066,@eanahS__ girl I been wanting them shit I been growing them hoes for bout 6months,1,1,1,1,,1,1,1,,1,1,1,,1,2,1,0,1,1,1
7,,23617,Yeah hoe. http://t.co/qZXi0IuFCf,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,0,1,1,1
8,,12809,Lmao look at these hoes RT @RareHipHopPic: http://t.co/lOCEXe8Rcd,1,1,1,1,,1,2,1,,1,1,1,,1,2,1,0,1,1,1
9,,108,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",1,1,1,1,,1,1,1,,1,2,1,,1,2,1,1,1,1,1
10,,19604,RT @iKayKing: A boyfriend and girlfriend suppose to laugh at these hoes together. A guy should never have these hoes laughing at his girl..&#8230;,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,0
11,,5190,@TrippinC bitch you can tweet but not answer?,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,1,1,1
12,,7909,"Always wanted to fuck that bitch, thank you god I fucked that bitch",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
13,,8538,Can I get some good neck out dis hoe?,1,1,2,1,,1,2,1,,1,1,1,,1,2,1,1,1,1,1
14,,1328,&#8220;@HighClassCapri: @what_evaittakes lmao I minds well be a hoe for all that &#128528;&#8221;&#128563;&#128563; I ain't mean like that girl lol,1,0,1,0,,0,1,0,,1,1,1,,1,0,0,0,0,1,1
15,,14754,RT @BlackNerdJade: RT @fivefifths: Hell wrong with yall? RT @TwanTargaryen: Pecan pie AND sweet potato pie trash. http://t.co/hH50P5pytX,0,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,0,0,0
16,,24719,mimi trash lol,1,0,1,0,,0,2,0,,1,1,1,,1,1,1,0,0,1,0
17,,18493,"RT @WorIdStarFunnyy: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/NQyLxquLOC",1,1,1,1,,1,1,1,,0,1,0,,1,1,1,0,0,1,0
18,,2062,Bitch caught a body about a week ago ! Fuck with us and we get to tweekin hoe ! Run up on that niggah get to... http://t.co/av9YPjtwxn,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
19,,5976,@dappermuke I stick up for my fam. don't disrespect the pouch my nigguh. and awe ily2 http://t.co/tuQ0uAd8bK,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,0,1,1
20,,8788,"Cruising in my go kart at walmart selling cupcakes, go ahead admit faggot, this shit is tighter than butt rape~",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
21,,3401,@GrizzboAdams fucking block your white ass because you try to start shit like a fucking queer so fuck you NIGGA,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
22,,21863,That hoe was nipping,1,1,2,1,,1,2,1,,1,1,1,,1,1,1,0,1,1,1
23,,11690,"I'm starting to not like meek, this nig a lil to arrogant for me",1,1,2,1,,1,2,1,,1,1,1,,1,2,1,0,1,1,1
24,,19667,"RT @illest_qveen: im sick of bitches , bitching about other bitches &#128530;",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,0,1,1
25,,1841,&#8220;@jcash___: @VoiceOfDStreetz noll nigga I'm Talm bout Tt and juice &#128514;&#128514;&#128514; @FreeMolly_&#8221; me too! Ion hoe Em,1,0,1,0,,0,1,0,,1,2,1,,1,0,0,0,0,1,1
26,,24563,if your trying out for Non-contact hockey dont call anyone else a pussy,1,1,2,1,,1,2,1,,1,1,1,,1,2,1,1,0,1,0
27,,14146,"People, RT this picture far and wide, if for no other reason than it makes teabaggers with poor spelling really angry http://t.co/gygRzYCIjq",1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,1,1,1
28,,15056,RT @CityBoiCoop: &#128557;&#128557;&#128557; RT @RoJustDGAF: Damn it RT @BobbyBudnic: &#9996;&#65039; RT @TittySlapMe: Once or twice is cool but damn bitch http://t.co/WTDCShx&#8230;,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,0,1,1
29,,12993,Love'em and hate 'em... &#171;@my_shit_bit Big booty bitches.&#187;,1,1,1,1,,1,1,1,,1,1,1,,1,2,1,0,0,1,1
30,,16029,"RT @ItsDRecord: Bitches about to start that ""New year, New me"" bullshit.. You can't undo the numbers on that pussy thoo",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
31,,2737,@BrenJJGMom @hweldon Well...how about those Yankees this year? What a run. #wtfiswrongwithnebraska,1,1,0,0,,1,0,0,,1,0,0,,1,0,0,0,0,1,0
32,,6227,"@gusandrews HEY! I'M still on LambdaMOO. (and it really is empty, nobody to talk to except that asshole bird...)",1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,1,1,0
33,,5616,@aasthaxoxo oh shut your mouth i was talkin about the morning you fag,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
34,,22361,"They were taking a picture and I saw a bird fly past and I was like, oh bird! @HeidyPalma21",1,1,0,0,,1,0,0,,0,0,0,,1,0,0,0,0,0,0
35,,19172,"RT @chillin662: Boosie said he got a bitch from the Sip. #THOTs are gonna have ""Boosie's bitch in da Sip"" in their bio now #BETHipHopAwards&#8230;",1,1,2,1,,1,2,1,,1,1,1,,1,2,1,0,1,1,1
36,,11892,If u got yo shit pulled Upp past yo bellybutton YOU ARE TOO OLD FOR YOGA PANTS bitch it aint 1983,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
